"DATE","WIN1","WIN2","LOSS1","LOSS2","WINSCORE","LOSSSCORE","POINTS"
"20160611","70","142","119","11","21","15","26"
"20160611","70","142","119","6","21","10","22"
"20160611","4","178","52","3","21","19","17"
"20160611","4","178","52","3","21","16","17"
"20160611","4","130","3","184","21","16","12"
"20160528","3","137","52","178","21","14","17"
"20160528","3","4","178","102","21","10","13"
"20160528","70","167","6","8","21","15","18"
"20160528","142","167","70","11","21","15","32"
"20160528","4","137","52","102","21","15","14"
"20160528","11","142","6","8","21","17","27"
"20160528","167","6","142","70","21","11","19"
"20160528","8","70","167","11","21","17","16"
"20160528","11","142","6","70","21","17","27"
"20160528","137","52","178","102","21","15","15"
"20160528","137","4","178","3","21","15","13"
"20160528","52","4","178","102","21","18","12"
"20160528","167","142","6","8","21","17","28"
"20160528","4","102","3","178","21","16","15"
"20160528","3","4","52","137","21","15","17"
"20160528","11","142","70","8","21","15","33"
"20160528","167","142","6","11","21","13","25"
"20160528","8","6","70","11","21","15","23"
"20160528","3","4","52","178","21","18","14"
"20160528","52","178","102","137","21","14","22"
"20160528","11","142","70","167","22","20","29"
"20160528","11","142","8","6","21","17","27"
"20160528","4","102","52","178","21","18","15"
"20160528","178","102","4","3","21","16","31"
"20160528","8","70","11","167","21","15","16"
"20160528","102","178","4","3","21","13","31"
"20160528","3","4","102","178","21","16","13"
"20160521","142","6","119","11","22","20","35"
"20160521","8","119","142","167","21","18","11"
"20160521","102","137","3","178","21","16","17"
"20160521","52","4","102","137","21","18","15"
"20160521","52","178","3","4","21","16","28"
"20160521","52","178","3","4","21","16","28"
"20160521","4","178","102","137","21","16","17"
"20160521","167","6","11","142","22","20","17"
"20160521","11","167","6","119","21","18","20"
"20160521","11","142","8","119","21","17","33"
"20160521","167","142","6","8","21","15","29"
"20160521","137","3","102","52","21","15","18"
"20160521","119","6","11","142","21","17","15"
"20160521","3","178","102","137","21","16","23"
"20160521","3","52","4","178","21","16","23"
"20160521","139","119","142","11","21","17","19"
"20160521","15","119","142","11","21","18","18"
"20160521","137","3","4","102","21","17","23"
"20160521","8","6","26","119","21","18","10"
"20160521","137","3","52","178","21","17","17"
"20160521","11","119","26","167","21","16","8"
"20160521","102","4","52","178","21","16","15"
"20160521","102","4","52","137","21","18","18"
"20160521","11","15","8","6","21","19","27"
"20160521","4","119","3","178","21","17","16"
"20160507","8","102","11","70","21","19","16"
"20160507","102","167","11","119","21","11","19"
"20160507","4","52","113","178","21","13","22"
"20160507","167","102","119","11","21","11","19"
"20160507","70","119","167","8","21","18","18"
"20160507","70","113","11","102","21","19","11"
"20160507","8","11","102","167","21","18","20"
"20160507","167","119","102","11","21","9","26"
"20160507","167","102","119","70","21","15","20"
"20160507","70","119","8","11","21","10","20"
"20160507","139","106","148","26","21","18","20"
"20160507","102","119","8","11","21","15","17"
"20160507","167","70","11","119","21","15","22"
"20160507","11","70","8","102","21","15","25"
"20160507","11","119","167","102","21","12","21"
"20160507","11","167","119","70","21","15","24"
"20160507","167","102","119","11","21","16","19"
"20160507","11","119","102","106","21","19","17"
"20160507","70","106","11","48","21","15","24"
"20160423","11","106","119","48","21","15","27"
"20160423","8","135","15","132","21","17","14"
"20160423","11","119","48","106","21","12","12"
"20160423","8","119","11","135","21","16","12"
"20160423","4","102","52","3","21","19","17"
"20160423","4","102","52","167","21","19","12"
"20160423","3","11","119","135","21","19","11"
"20160423","8","48","15","106","21","16","10"
"20160423","4","167","3","102","21","13","19"
"20160423","4","3","52","167","21","13","12"
